연도	자치구	발생	검거율	cctv	인구	인구밀도	파출소현황	경찰관	행복지수	월간 음주율	우울감 경험률	지가변동평균	평균기온	최고기온	평균최고기온	최저기온	평균최저기온	평균풍속	최대 순간 풍속	강수량합	유흥주점	외국인 인구	평균연령
22	종로구	3138	1.04652645	207	152211	6365	26	1080	6.9	53.4	8.7	3.045	13.2	36.1	18	-13.7	9.2	2.4	17.925	1775.3	291	9106	45.6
22	중구	3071	0.690003256	137	130785	13131	19	1019	6.44	53.8	7.7	2.366	11.8	35.2	16.9	-15.8	8.2	2.5	21.6	1452.5	263	9288	46.1
22	용산구	2967	0.705426357	464	233284	10668	13	806	6.5	52.6	3.6	3.255	13.8	37	18.4	-12.4	9.8	1.9	18.4	1699	116	14332	44.4
22	성동구	2194	0.727894257	232	288234	17136	16	649	6.99	55.4	6.9	4.528	14.5	36.1	18.8	-12.9	11	1.9	19.9	1727.5	59	6682	43.8
22	광진구	3619	0.690245924	273	351252	20586	13	751	6.53	58.9	8.4	2.581	13.4	36.3	18.4	-12.9	9.3	1.5	12.4	1918	83	12631	43.3
22	동대문구	3253	0.685828466	317	353601	24873	21	837	6.76	54.5	3.2	2.736	13.7	36.3	18.5	-13	9.7	1.7	20.3	1848.5	138	14606	44.5
22	중랑구	3599	0.742150597	294	390140	21092	18	781	6.92	57.6	6.2	2.203	13.8	36.6	18.3	-13.1	9.9	1.9	16.4	1835	149	4535	45.7
22	성북구	2749	0.773008367	338	441984	17983	26	940	6.95	56.3	7.4	1.946	12.6	33.8	16.9	-14.3	8.6	1.6	18.8	1912.5	55	9614	44
22	강북구	2832	0.827330508	797	297702	12614	15	691	6.52	52.2	4.5	1.734	13.2	37.4	18.1	-14.5	9	1.8	16.7	1937	157	3381	47.3
22	도봉구	2141	0.732835124	591	313989	15205	10	574	6.62	50.2	7.5	1.779	12.7	34.2	18.36666667	-15.2	7.733333333	1.2	16.9	2074	65	2007	46.7
22	노원구	3896	0.677874743	144	508014	14335	17	824	6.59	51.9	6.3	1.755	11.8	36.4	18.1	-17.5	5.8	1.1	13.7	1687	58	3990	44.4
22	은평구	3487	0.762259822	522	470602	15838	22	945	7.01	52.3	3.7	1.971	11.3	35.1	17.5	-16.2	5.7	1	13.3	1723	187	3866	45.1
22	서대문구	2374	0.676074136	174	319554	18129	12	679	6.91	52.5	10.2	2.099	12.4	35.3	17.7	-14.3	8.2	1.3	18	1514.5	76	10840	44.1
22	마포구	4096	0.687011719	117	375585	15745	16	924	6.91	57.8	10.3	3.026	13.4	36.6	18.6	-13.8	9.5	2.6	18.9	1588	111	9781	42.6
22	양천구	3169	0.672136321	292	444010	25509	16	764	6.46	56.8	8	2.503	14	37.2	18.6	-12.5	10.2	1.4	13	1625	68	3185	43.4
22	강서구	4663	0.770105083	596	574638	13862	14	963	6.37	51.8	7.2	2.732	13.1	37.6	18.6	-13.1	8.5	1.5	12.7	1572	287	5453	43.5
22	구로구	3857	0.70832253	341	418418	20794	18	772	6.48	59.7	7.2	2.328	13.4	35.4	18.3	-12.7	9.1	2.1	20.6	1727	104	24409	44.6
22	금천구	2577	0.732246799	304	242818	18649	13	600	6.37	55.6	11.9	3.125	13.7	37.1	18.3	-13	10.1	1.9	20.7	1875	110	14080	45.2
22	영등포구	4819	0.661133015	450	398085	16215	16	1008	6.38	57.4	7.6	3.328	13.9	36.6	18.25	-12.7	10.4	1.7	21.6	1639.4	268	24071	43.4
22	동작구	2735	0.636563071	373	390432	23870	18	687	7.11	52.8	6	2.457	12.85	36.4	18.25	-14.7	8.3	1.5	14.65	1863.5	79	8881	43.8
22	관악구	4879	0.699118672	135	501226	16951	19	945	6.73	53.2	8.1	2.643	11.6	34.4	17.1	-14.5	7.2	1.9	13.35	1820.25	270	13750	43.1
22	서초구	4459	0.694774613	876	408451	8696	21	1142	6.96	56.8	7.1	3.982	13.4	36.1	18.5	-12.7	8.9	1.5	14.7	1968.5	126	3888	42.1
22	강남구	6947	0.722614078	468	534103	13522	23	1608	6.35	60.2	7.3	3.701	13.7	36.8	18.8	-12.8	9.2	1.6	19.1	1709.5	379	4758	42.3
22	송파구	5167	0.659763886	431	664514	19616	22	1084	7.06	59.3	9.6	3.655	14	36.7	18.5	-13	10.1	1.6	11.5	1949.5	225	5627	42.6
22	강동구	3711	0.712476421	429	464037	18871	17	787	6.86	54.2	7.5	2.648	13.3	37.6	18.4	-13.3	8.9	1.4	17.5	1985	190	3808	43.4
